seed,measurement_ratio,method,sample_id,rmse,mae,relative_l2,support_f1,m
7,0.3,hybrid_lfista_joint,21,0.3761678181142002,0.29712565211082903,0.6163324674763367,0.09022556390968692,38
7,0.3,ml_only_torch,22,0.4281913378471212,0.32898181435235524,0.6488197932336659,,38
7,0.3,hybrid_lfista_frozen,22,0.3546741230563584,0.26700010129000895,0.5374223410117621,0.08955223880588327,38
7,0.3,hybrid_lfista_joint,22,0.35453852340619524,0.2671555859265875,0.5372168727334364,0.08955223880588327,38
7,0.3,ml_only_torch,23,0.38782663503763226,0.32508047181162286,0.6316006072780124,,38
7,0.3,hybrid_lfista_frozen,23,0.3278021412211956,0.27487035948611993,0.5338468603174974,0.09090909090900273,38
7,0.3,hybrid_lfista_joint,23,0.3275277839515898,0.274510124030674,0.5334000518664035,0.09022556390968692,38
7,0.3,ml_only_torch,24,0.4376113925295764,0.34220429161932475,0.6834003480108879,,38
7,0.3,hybrid_lfista_frozen,24,0.38049967426662384,0.3076876874006554,0.5942112436989756,0.09022556390968692,38
7,0.3,hybrid_lfista_joint,24,0.3803612318728286,0.307616914713915,0.5939950437057527,0.08955223880588327,38
7,0.3,ml_only_torch,25,0.36806573644127666,0.28389455416385295,0.5076728218959353,,38
7,0.3,hybrid_lfista_frozen,25,0.31131227093457586,0.24722327308975667,0.42939280522082374,0.08955223880588327,38
7,0.3,hybrid_lfista_joint,25,0.31117996160541944,0.24707170825697988,0.429210311052403,0.08955223880588327,38
7,0.3,ml_only_torch,26,0.3978652733822862,0.3072557500202014,0.6802366200222467,,38
7,0.3,hybrid_lfista_frozen,26,0.35863125099771165,0.2749676066558717,0.6131575845741923,0.09022556390968692,38
7,0.3,hybrid_lfista_joint,26,0.3584498319498131,0.27483115825077076,0.6128474095269936,0.09022556390968692,38
7,0.3,ml_only_torch,27,0.39664410061144983,0.31215549128731224,0.5634122175883837,,38
7,0.3,hybrid_lfista_frozen,27,0.3420457486886493,0.27112217667352434,0.48585811181427624,0.09090909090900273,38
7,0.3,hybrid_lfista_joint,27,0.34179626711332906,0.2707023846964485,0.48550373627362925,0.09160305343502569,38
7,0.3,ml_only_torch,28,0.46794945411690897,0.3595846107208335,0.6237711287138421,,38
7,0.3,hybrid_lfista_frozen,28,0.357891338831962,0.2786352635321935,0.477064953097152,0.09160305343502569,38
7,0.3,hybrid_lfista_joint,28,0.3576975272210819,0.2785577240011451,0.47680660449515466,0.08955223880588327,38
7,0.3,ml_only_torch,29,0.4198281280987199,0.3276353110312471,0.5809613452576835,,38
7,0.3,hybrid_lfista_frozen,29,0.3545262299710328,0.2919960778068217,0.4905960837494778,0.08955223880588327,38
7,0.3,hybrid_lfista_joint,29,0.3543505449860605,0.29193439129229415,0.49035296953587487,0.08955223880588327,38
7,0.3,ml_only_torch,30,0.5841029657168039,0.4805661521761518,0.7326946749376715,,38
7,0.3,hybrid_lfista_frozen,30,0.4910854034175158,0.39922914892009603,0.6160140953608593,0.09022556390968692,38
7,0.3,hybrid_lfista_joint,30,0.49086971287970554,0.39888511393483944,0.6157435346587851,0.09022556390968692,38
7,0.3,ml_only_torch,31,0.3840910333352034,0.31248343452559724,0.6018053097247943,,38
