measurement_ratio,method,rmse_mean,rmse_std_across_seeds,rmse_sem,mae_mean,mae_std_across_seeds,relative_l2_mean,relative_l2_std_across_seeds,support_f1_mean,support_f1_std_across_seeds,n_seeds,n_test_samples_per_run,rmse_ci95_half,bg_type,run_id
0.15,ae_regression_ub,0.0139903436324817,0.0004222508499286,0.0002437866418718,0.0113502283914073,0.0003881288006557,0.1854654460097126,0.00625072437922,,,3,385,0.0004778218180687,mlp2,prod_bg_mlp2_dct
0.15,hybrid_lfista_joint,0.0240430215776792,0.0017341546190748,0.0010012146361393,0.0191986158670504,0.0014054692028388,0.3263836291965301,0.0243574588800546,0.2871215256250993,0.0558168521178752,3,385,0.001962380686833,mlp2,prod_bg_mlp2_dct
0.15,ml_only,0.0171679260496875,0.0003281624469694,0.0001894646770957,0.0137980133903988,0.0002613669422375,0.2294784880089471,0.0061311834848896,,,3,385,0.0003713507671076,mlp2,prod_bg_mlp2_dct
0.15,mlp_concat_ub,0.0793412273613244,0.007420772297109,0.0042843848833308,0.0647530546048554,0.0059077553081599,1.0191369264782943,0.1219645543259334,,,3,385,0.0083973943713284,mlp2,prod_bg_mlp2_dct
0.15,pca_regression_ub,0.0755008076399995,0.0142465642327012,0.0082252576947773,0.0612561848867216,0.0122404987959072,1.0173267896758122,0.2414597922068923,,,3,385,0.0161215050817636,mlp2,prod_bg_mlp2_dct
0.2,ae_regression_ub,0.0138720923661888,0.0008174260273577,0.0004719411369375,0.011269257964649,0.000649153177234,0.1834600401061288,0.0140788904630073,,,3,385,0.0009250046283976,mlp2,prod_bg_mlp2_dct
0.2,hybrid_lfista_joint,0.0239051031764975,0.0016334532326402,0.0009430746635735,0.0188423796878326,0.0013090397288587,0.3198639875822314,0.0271498899448529,0.3375155337441093,0.0263175114372123,3,385,0.001848426340604,mlp2,prod_bg_mlp2_dct
0.2,ml_only,0.0171679260496875,0.0003281624469694,0.0001894646770957,0.0137980133903988,0.0002613669422375,0.2294784880089471,0.0061311834848896,,,3,385,0.0003713507671076,mlp2,prod_bg_mlp2_dct
0.2,mlp_concat_ub,0.0846377343111248,0.0044339869123803,0.002559963537446,0.0689024811316596,0.0035046252892609,1.1234326904233864,0.0658581232594249,,,3,385,0.0050175285333942,mlp2,prod_bg_mlp2_dct
0.2,pca_regression_ub,0.0758728737880228,0.0081093102485916,0.0046819124549665,0.0612730493036141,0.0065408275669991,1.0307176321567932,0.0975476211091397,,,3,385,0.0091765484117344,mlp2,prod_bg_mlp2_dct
0.3,ae_regression_ub,0.013728902764155,0.0005130281603749,0.0002961969464943,0.0111530464407307,0.0004228489093425,0.1805692830271991,0.0058083081965,,,3,385,0.0005805460151288,mlp2,prod_bg_mlp2_dct
0.3,hybrid_lfista_joint,0.0203854695945225,0.0014121393872468,0.0008152990553602,0.015677544149074,0.0009804833012952,0.2752460112570727,0.0216887741551,0.4040813377762512,0.0429694915248221,3,385,0.001597986148506,mlp2,prod_bg_mlp2_dct
0.3,ml_only,0.0171679260496875,0.0003281624469694,0.0001894646770957,0.0137980133903988,0.0002613669422375,0.2294784880089471,0.0061311834848896,,,3,385,0.0003713507671076,mlp2,prod_bg_mlp2_dct
0.3,mlp_concat_ub,0.0845341647940781,0.0048396707068033,0.002794185185362,0.068702640884489,0.0038022514440746,1.112563486811932,0.0544833716343888,,,3,385,0.0054766029633096,mlp2,prod_bg_mlp2_dct
0.3,pca_regression_ub,0.076445372265919,0.0070805636028903,0.004087965302143,0.0615154405184012,0.0058481463241891,1.0289553054985177,0.0891516075023564,,,3,385,0.0080124119922003,mlp2,prod_bg_mlp2_dct
